REGION,YEAR,week,UNWEIGHTED ILI,ILITOTAL,TOTAL PATIENTS
Illinois,2011,1,2.99071,1172,39188
Illinois,2011,2,3.28357,1280,38982
Illinois,2011,3,4.03462,1664,41243
Illinois,2011,4,4.71879,1991,42193
Illinois,2011,5,4.9683,1857,37377
Illinois,2011,6,4.23328,1774,41906
Illinois,2011,7,4.04362,1739,43006
Illinois,2011,8,3.85922,1568,40630
Illinois,2011,9,3.6953,1579,42730
Illinois,2011,10,3.19015,1345,42161
Illinois,2011,11,3.373,1284,38067
Illinois,2011,12,2.63603,1045,39643
Illinois,2011,13,2.55181,985,38600
Illinois,2011,14,2.15318,851,39523
Illinois,2011,15,1.57063,616,39220
Illinois,2011,16,1.72191,640,37168
Illinois,2011,17,1.52495,526,34493
Illinois,2011,18,1.34804,479,35533
Illinois,2011,19,1.59068,575,36148
Illinois,2011,20,1.19695,392,32750
Illinois,2011,21,1.23846,381,30764
Illinois,2011,22,1.68385,516,30644
Illinois,2011,23,1.2613,392,31079
Illinois,2011,24,1.10723,311,28088
Illinois,2011,25,1.06486,307,28830
Illinois,2011,26,1.24786,379,30372
Illinois,2011,27,1.5216,372,24448
Illinois,2011,28,0.822823,244,29654
Illinois,2011,29,1.14027,335,29379
Illinois,2011,30,1.18249,356,30106
Illinois,2011,31,1.39115,351,25231
Illinois,2011,32,1.01159,316,31238
Illinois,2011,33,1.14914,370,32198
Illinois,2011,34,1.21631,398,32722
Illinois,2011,35,1.3125,431,32838
Illinois,2011,36,1.41258,448,31715
Illinois,2011,37,1.33621,439,32854
Illinois,2011,38,1.93042,541,28025
Illinois,2011,39,1.53657,512,33321
Illinois,2011,40,1.83997,886,48153
Illinois,2011,41,1.64447,794,48283
Illinois,2011,42,1.65353,755,45660
Illinois,2011,43,1.69384,772,45577
Illinois,2011,44,1.7088,797,46641
Illinois,2011,45,1.64647,742,45066
Illinois,2011,46,1.76848,819,46311
Illinois,2011,47,2.03392,783,38497
Illinois,2011,48,1.71415,772,45037
Illinois,2011,49,1.62628,694,42674
Illinois,2011,50,2.09914,772,36777
Illinois,2011,51,2.14258,840,39205
Illinois,2011,52,2.68846,1020,37940
Illinois,2012,1,2.20216,888,40324
Illinois,2012,2,1.86664,830,44465
Illinois,2012,3,2.08198,867,41643
Illinois,2012,4,2.06257,948,45962
Illinois,2012,5,2.4577,1136,46222
Illinois,2012,6,2.40434,989,41134
Illinois,2012,7,2.92657,1361,46505
Illinois,2012,8,3.36853,1557,46222
Illinois,2012,9,3.38003,1561,46183
Illinois,2012,10,3.94913,1829,46314
Illinois,2012,11,4.66875,2074,44423
Illinois,2012,12,3.37912,1562,46225
Illinois,2012,13,2.44384,1077,44070
Illinois,2012,14,2.32242,1009,43446
Illinois,2012,15,2.2553,962,42655
Illinois,2012,16,1.98418,863,43494
Illinois,2012,17,1.93371,839,43388
Illinois,2012,18,1.79573,749,41710
Illinois,2012,19,1.38429,544,39298
Illinois,2012,20,1.41021,542,38434
Illinois,2012,21,1.41798,482,33992
Illinois,2012,22,1.50898,511,33864
Illinois,2012,23,1.40542,490,34865
Illinois,2012,24,1.10976,374,33701
Illinois,2012,25,1.15051,389,33811
Illinois,2012,26,1.20623,402,33327
Illinois,2012,27,1.24848,369,29556
Illinois,2012,28,1.18019,396,33554
Illinois,2012,29,1.19658,397,33178
Illinois,2012,30,1.22362,429,35060
Illinois,2012,31,1.58305,490,30953
Illinois,2012,32,1.27548,378,29636
Illinois,2012,33,1.19505,442,36986
Illinois,2012,34,1.34114,518,38624
Illinois,2012,35,1.47584,579,39232
Illinois,2012,36,1.59901,503,31457
Illinois,2012,37,1.66453,687,41273
Illinois,2012,38,1.63744,607,37070
Illinois,2012,39,1.65217,644,38979
Illinois,2012,40,1.58214,696,43991
Illinois,2012,41,1.69269,734,43363
Illinois,2012,42,1.71016,789,46136
Illinois,2012,43,1.72181,765,44430
Illinois,2012,44,1.89033,836,44225
Illinois,2012,45,2.02857,923,45500
Illinois,2012,46,1.99806,885,44293
Illinois,2012,47,2.32818,853,36638
Illinois,2012,48,2.39121,1116,46671
Illinois,2012,49,3.22268,1529,47445
Illinois,2012,50,4.239,1995,47063
Illinois,2012,51,5.07826,2271,44720
Illinois,2012,52,6.27165,2227,35509
Illinois,2013,1,5.05566,1903,37641
Illinois,2013,2,4.34811,2008,46181
Illinois,2013,3,3.88902,1790,46027
Illinois,2013,4,3.54367,1500,42329
Illinois,2013,5,3.50275,1572,44879
Illinois,2013,6,3.12585,1381,44180
Illinois,2013,7,3.05967,1282,41900
Illinois,2013,8,2.55517,1064,41641
Illinois,2013,9,2.81471,1194,42420
Illinois,2013,10,2.62175,1102,42033
Illinois,2013,11,3.03716,1073,35329
Illinois,2013,12,2.64034,1039,39351
Illinois,2013,13,2.44904,954,38954
Illinois,2013,14,2.31881,932,40193
Illinois,2013,15,1.89672,746,39331
Illinois,2013,16,1.82598,724,39650
Illinois,2013,17,1.69867,705,41503
Illinois,2013,18,1.64719,678,41161
Illinois,2013,19,1.61373,664,41147
Illinois,2013,20,1.89015,647,34230
Illinois,2013,21,1.42293,526,36966
Illinois,2013,22,1.58659,531,33468
Illinois,2013,23,1.57555,585,37130
Illinois,2013,24,1.64654,499,30306
Illinois,2013,25,1.37145,473,34489
Illinois,2013,26,1.21819,428,35134
Illinois,2013,27,1.17423,370,31510
Illinois,2013,28,1.16156,418,35986
Illinois,2013,29,0.96345,344,35705
Illinois,2013,30,0.991386,366,36918
Illinois,2013,31,0.949602,332,34962
Illinois,2013,32,0.902903,321,35552
Illinois,2013,33,1.07404,385,35846
Illinois,2013,34,0.941708,363,38547
Illinois,2013,35,1.03193,383,37115
Illinois,2013,36,1.18983,439,36896
Illinois,2013,37,1.37006,560,40874
Illinois,2013,38,1.45643,578,39686
Illinois,2013,39,1.43988,562,39031
Illinois,2013,40,1.41144,859,60860
Illinois,2013,41,1.52682,932,61042
Illinois,2013,42,1.60253,937,58470
Illinois,2013,43,1.73267,1036,59792
Illinois,2013,44,1.84818,1072,58003
Illinois,2013,45,1.79131,1069,59677
Illinois,2013,46,1.80678,1060,58668
Illinois,2013,47,1.93023,1095,56729
Illinois,2013,48,2.33875,1012,43271
Illinois,2013,49,2.38091,1371,57583
Illinois,2013,50,2.78107,1337,48075
Illinois,2013,51,3.00035,1627,54227
Illinois,2013,52,4.50831,1920,42588
Illinois,2014,1,4.44242,1995,44908
Illinois,2014,2,3.44904,1716,49753
Illinois,2014,3,2.99557,1712,57151
Illinois,2014,4,2.81371,1538,54661
Illinois,2014,5,2.31313,1240,53607
Illinois,2014,6,2.09311,1120,53509
Illinois,2014,7,2.02027,1146,56725
Illinois,2014,8,2.07339,1182,57008
Illinois,2014,9,2.04208,1186,58078
Illinois,2014,10,1.849,1033,55868
Illinois,2014,11,1.98314,1101,55518
Illinois,2014,12,1.75208,975,55648
Illinois,2014,13,2.03628,1126,55297
Illinois,2014,14,1.96344,1158,58978
Illinois,2014,15,1.95187,1181,60506
Illinois,2014,16,1.78886,1006,56237
Illinois,2014,17,1.86204,1093,58699
Illinois,2014,18,1.7144,956,55763
Illinois,2014,19,1.99132,1055,52980
Illinois,2014,20,1.63255,808,49493
Illinois,2014,21,1.73257,794,45828
Illinois,2014,22,1.56121,757,48488
Illinois,2014,23,1.48708,761,51174
Illinois,2014,24,1.42806,678,47477
Illinois,2014,25,1.40261,660,47055
Illinois,2014,26,1.08399,461,42528
Illinois,2014,27,0.875356,347,39641
Illinois,2014,28,0.898938,392,43607
Illinois,2014,29,0.826602,351,42463
Illinois,2014,30,0.788524,343,43499
Illinois,2014,31,0.770412,331,42964
Illinois,2014,32,0.810804,338,41687
Illinois,2014,33,0.79646,351,44070
Illinois,2014,34,0.993506,410,41268
Illinois,2014,35,0.850544,362,42561
Illinois,2014,36,1.17051,559,47757
Illinois,2014,37,1.87919,984,52363
Illinois,2014,38,1.80433,966,53538
Illinois,2014,39,1.59832,801,50115
Illinois,2014,40,1.47637,853,57777
Illinois,2014,41,1.4802,831,56141
Illinois,2014,42,1.64143,929,56597
Illinois,2014,43,1.59675,899,56302
Illinois,2014,44,1.74722,979,56032
Illinois,2014,45,1.95543,1109,56714
Illinois,2014,46,2.16649,1212,55943
Illinois,2014,47,2.55336,1378,53968
Illinois,2014,48,3.8006,1810,47624
Illinois,2014,49,4.50272,2687,59675
Illinois,2014,50,5.69394,3463,60819
Illinois,2014,51,5.97552,3569,59727
Illinois,2014,52,5.59515,2308,41250
Illinois,2014,53,4.32647,2035,47036
Illinois,2015,1,3.07323,1397,45457
Illinois,2015,2,2.31324,1120,48417
Illinois,2015,3,2.21313,1158,52324
Illinois,2015,4,2.28888,1153,50374
Illinois,2015,5,2.34961,1030,43837
Illinois,2015,6,2.37306,1288,54276
Illinois,2015,7,2.37467,1232,51881
Illinois,2015,8,2.41691,1285,53167
Illinois,2015,9,2.60679,1359,52133
Illinois,2015,10,2.62478,1484,56538
Illinois,2015,11,2.80325,1562,55721
Illinois,2015,12,2.92099,1549,53030
Illinois,2015,13,2.87552,1547,53799
Illinois,2015,14,2.45215,1358,55380
Illinois,2015,15,2.02342,1142,56439
Illinois,2015,16,1.85577,922,49683
Illinois,2015,17,1.75137,937,53501
Illinois,2015,18,1.63577,878,53675
Illinois,2015,19,1.50995,752,49803
Illinois,2015,20,1.49161,742,49745
Illinois,2015,21,1.28484,562,43741
Illinois,2015,22,1.39058,558,40127
Illinois,2015,23,1.26708,521,41118
Illinois,2015,24,1.07415,435,40497
Illinois,2015,25,1.24446,548,44035
Illinois,2015,26,1.11324,448,40243
Illinois,2015,27,1.04587,435,41592
Illinois,2015,28,1.02889,437,42473
Illinois,2015,29,1.0008,415,41467
Illinois,2015,30,1.06443,432,40585
Illinois,2015,31,1.11983,438,39113
Illinois,2015,32,0.987891,412,41705
Illinois,2015,33,0.901366,384,42602
Illinois,2015,34,1.0581,450,42529
Illinois,2015,35,1.01978,428,41970
Illinois,2015,36,1.22324,500,40875
Illinois,2015,37,1.4677,643,43810
Illinois,2015,38,1.42413,609,42763
Illinois,2015,39,1.28036,542,42332
Illinois,2015,40,1.63805,833,50853
Illinois,2015,41,1.7586,908,51632
Illinois,2015,42,1.6042,806,50243
Illinois,2015,43,1.77543,842,47425
Illinois,2015,44,1.79698,920,51197
Illinois,2015,45,2.01816,1020,50541
Illinois,2015,46,1.89498,978,51610
Illinois,2015,47,2.04812,830,40525
Illinois,2015,48,2.04212,1057,51760
