REGION,YEAR,week,UNWEIGHTED ILI,ILITOTAL
Illinois,2011,1,2.99071,1172
Illinois,2011,2,3.28357,1280
Illinois,2011,3,4.03462,1664
Illinois,2011,4,4.71879,1991
Illinois,2011,5,4.9683,1857
Illinois,2011,6,4.23328,1774
Illinois,2011,7,4.04362,1739
Illinois,2011,8,3.85922,1568
Illinois,2011,9,3.6953,1579
Illinois,2011,10,3.19015,1345
Illinois,2011,11,3.373,1284
Illinois,2011,12,2.63603,1045
Illinois,2011,13,2.55181,985
Illinois,2011,14,2.15318,851
Illinois,2011,15,1.57063,616
Illinois,2011,16,1.72191,640
Illinois,2011,17,1.52495,526
Illinois,2011,18,1.34804,479
Illinois,2011,19,1.59068,575
Illinois,2011,20,1.19695,392
Illinois,2011,21,1.23846,381
Illinois,2011,22,1.68385,516
Illinois,2011,23,1.2613,392
Illinois,2011,24,1.10723,311
Illinois,2011,25,1.06486,307
Illinois,2011,26,1.24786,379
Illinois,2011,27,1.5216,372
Illinois,2011,28,0.822823,244
Illinois,2011,29,1.14027,335
Illinois,2011,30,1.18249,356
Illinois,2011,31,1.39115,351
Illinois,2011,32,1.01159,316
Illinois,2011,33,1.14914,370
Illinois,2011,34,1.21631,398
Illinois,2011,35,1.3125,431
Illinois,2011,36,1.41258,448
Illinois,2011,37,1.33621,439
Illinois,2011,38,1.93042,541
Illinois,2011,39,1.53657,512
Illinois,2011,40,1.83997,886
Illinois,2011,41,1.64447,794
Illinois,2011,42,1.65353,755
Illinois,2011,43,1.69384,772
Illinois,2011,44,1.7088,797
Illinois,2011,45,1.64647,742
Illinois,2011,46,1.76848,819
Illinois,2011,47,2.03392,783
Illinois,2011,48,1.71415,772
Illinois,2011,49,1.62628,694
Illinois,2011,50,2.09914,772
Illinois,2011,51,2.14258,840
Illinois,2011,52,2.68846,1020
Illinois,2012,1,2.20216,888
Illinois,2012,2,1.86664,830
Illinois,2012,3,2.08198,867
Illinois,2012,4,2.06257,948
Illinois,2012,5,2.4577,1136
Illinois,2012,6,2.40434,989
Illinois,2012,7,2.92657,1361
Illinois,2012,8,3.36853,1557
Illinois,2012,9,3.38003,1561
Illinois,2012,10,3.94913,1829
Illinois,2012,11,4.66875,2074
Illinois,2012,12,3.37912,1562
Illinois,2012,13,2.44384,1077
Illinois,2012,14,2.32242,1009
Illinois,2012,15,2.2553,962
Illinois,2012,16,1.98418,863
Illinois,2012,17,1.93371,839
Illinois,2012,18,1.79573,749
Illinois,2012,19,1.38429,544
Illinois,2012,20,1.41021,542
Illinois,2012,21,1.41798,482
Illinois,2012,22,1.50898,511
Illinois,2012,23,1.40542,490
Illinois,2012,24,1.10976,374
Illinois,2012,25,1.15051,389
Illinois,2012,26,1.20623,402
Illinois,2012,27,1.24848,369
Illinois,2012,28,1.18019,396
Illinois,2012,29,1.19658,397
Illinois,2012,30,1.22362,429
Illinois,2012,31,1.58305,490
Illinois,2012,32,1.27548,378
Illinois,2012,33,1.19505,442
Illinois,2012,34,1.34114,518
Illinois,2012,35,1.47584,579
Illinois,2012,36,1.59901,503
Illinois,2012,37,1.66453,687
Illinois,2012,38,1.63744,607
Illinois,2012,39,1.65217,644
Illinois,2012,40,1.58214,696
Illinois,2012,41,1.69269,734
Illinois,2012,42,1.71016,789
Illinois,2012,43,1.72181,765
Illinois,2012,44,1.89033,836
Illinois,2012,45,2.02857,923
Illinois,2012,46,1.99806,885
Illinois,2012,47,2.32818,853
Illinois,2012,48,2.39121,1116
Illinois,2012,49,3.22268,1529
Illinois,2012,50,4.239,1995
Illinois,2012,51,5.07826,2271
Illinois,2012,52,6.27165,2227
Illinois,2013,1,5.05566,1903
Illinois,2013,2,4.34811,2008
Illinois,2013,3,3.88902,1790
Illinois,2013,4,3.54367,1500
Illinois,2013,5,3.50275,1572
Illinois,2013,6,3.12585,1381
Illinois,2013,7,3.05967,1282
Illinois,2013,8,2.55517,1064
Illinois,2013,9,2.81471,1194
Illinois,2013,10,2.62175,1102
Illinois,2013,11,3.03716,1073
Illinois,2013,12,2.64034,1039
Illinois,2013,13,2.44904,954
Illinois,2013,14,2.31881,932
Illinois,2013,15,1.89672,746
Illinois,2013,16,1.82598,724
Illinois,2013,17,1.69867,705
Illinois,2013,18,1.64719,678
Illinois,2013,19,1.61373,664
Illinois,2013,20,1.89015,647
Illinois,2013,21,1.42293,526
Illinois,2013,22,1.58659,531
Illinois,2013,23,1.57555,585
Illinois,2013,24,1.64654,499
Illinois,2013,25,1.37145,473
Illinois,2013,26,1.21819,428
Illinois,2013,27,1.17423,370
Illinois,2013,28,1.16156,418
Illinois,2013,29,0.96345,344
Illinois,2013,30,0.991386,366
Illinois,2013,31,0.949602,332
Illinois,2013,32,0.902903,321
Illinois,2013,33,1.07404,385
Illinois,2013,34,0.941708,363
Illinois,2013,35,1.03193,383
Illinois,2013,36,1.18983,439
Illinois,2013,37,1.37006,560
Illinois,2013,38,1.45643,578
Illinois,2013,39,1.43988,562
Illinois,2013,40,1.41144,859
